arbID,Zoning District
1047, R6B
1048, R7-1
1049, M1-2\/R6B
1050, R6B
1051, M1-2\/R6A
1052, R2
1053, R4-1
1054, C4-1
1055, R2
1056, R3-2
1057, R5D
1058, R4-1
1059, R5
1060, R8X
1061, R3X
1062, R4
1063, C3
1064, R4-1
1065, R2A
1066, R4-1
1067, R2A
1068, M1-1
1069, R1-2
1070, C8-1
1071, R4-1
1072, R4
1073, R5A
1074, R5A
1075, R4A
1076, M3-1
1077, R4
1078, M2-1
1079, R7B
1080, R4-1
1081, R6B
1082, R4A
1083, R4-1
1084, R2
1085, M1-2
1086, R7-2
1087, M3-1
1088, R5
1089, R7B
1090, R4-1
1091, R4B
1092, R4-1
1093, R3A
1094, R7-1
1095, R6
1096, R5B
1097, R5D
1098, R4-1
1099, R5B
1100, R4
1101, R4B
1102, R6A
1103, R5B
1104, R3-1
1105, R3-2
1106, R3-2
1107, R3-1
1108, R4-1
1109, R6A
1110, R7B
1111, R2
1112, R3X
1113, R3-1
1114, R10
1115, R9
1116, M1-1
1117, M1-4\/R6A
1118, M1-2
1119, R3-1
1120, R3X
1121, R5B
1122, R7A
1123, R5D
1124, R5D
1125, R4-1
1126, R7A
1127, R3-2
1128, R3-2
1129, R2
1130, R2
1131, R3-2
1132, M3-1
1133, R3X
1134, R6
1135, R6
1136, R8B
1137, R6A
1138, R6B
1139, R6A
1140, M1-2\/R6A
1141, C1-8A
1142, C1-6A
1143, R7B
1144, R8B
1145, M1-4\/R6A
1146, R6A
1147, R5B
1148, R7X
1149, R5B
1150, R4A
1151, M3-1
1152, R6
1153, M3-1
1154, M3-1
1155, M3-1
1156, R2
1157, R4
1158, R6
1159, R7-1
1160, M3-1
1161, C8-2
1162, C3
1163, R3-1
1164, C3
1165, M1-1
1166, C3A
1167, R4
1168, R3-2
1169, C4-1
1170, M3-1
1171, C4-4
1172, R6
1173, R6
1174, R3-2
1175, R4-1
1176, R6A
1177, R6A
1178, R6A
1179, R6B
1180, R5
1181, R6B
1182, R1-2
1183, R5
1184, M3-1
1185, R5B
1186, R6B
1187, R6B
1188, PARK
1189, PARK
1190, PARK
1191, PARK
1192, PARK
1193, PARK
1194, PARK
1195, PARK
1196, PARK
1197, PARK
1198, PARK
1199, PARK
1200, PARK
1201, PARK
1202, PARK
1203, PARK
1204, PARK
1205, PARK
1206, PARK
1207, PARK
1208, PARK
1209, PARK
1210, PARK
1211, PARK
1212, PARK
1213, PARK
1214, PARK
1215, PARK
1216, PARK
1217, PARK
1218, PARK
1219, PARK
1220, PARK
1221, PARK
1222, PARK
1223, PARK
1224, PARK
1225, PARK
1226, PARK
1227, PARK
1228, PARK
1229, PARK
1230, PARK
1231, PARK
1232, PARK
1233, PARK
1234, PARK
1235, PARK
1236, PARK
1237, PARK
1238, PARK
1239, PARK
1240, PARK
1241, PARK
1242, PARK
1243, PARK
1244, PARK
1245, PARK
1246, PARK
1247, PARK
1248, PARK
1249, PARK
1250, PARK
1251, PARK
1252, PARK
1253, PARK
1254, PARK
1255, PARK
1256, PARK
1257, PARK
1258, PARK
1259, PARK
1260, PARK
1261, PARK
1262, PARK
1263, PARK
1264, PARK
1265, PARK
1266, PARK
1267, PARK
1268, PARK
1269, PARK
1270, PARK
1271, PARK
1272, PARK
1273, PARK
1274, PARK
1275, PARK
1276, PARK
1277, PARK
1278, PARK
1279, PARK
1280, PARK
1281, PARK
1282, PARK
1283, PARK
1284, PARK
1285, PARK
1286, PARK
1287, PARK
1288, PARK
1289, PARK
1290, PARK
1291, PARK
1292, PARK
1293, PARK
1294, PARK
1295, PARK
1296, PARK
1297, PARK
1298, PARK
1299, PARK
1300, PARK
1301, PARK
1302, PARK
1303, PARK
1304, PARK
1305, PARK
1306, PARK
1307, PARK
1308, PARK
1309, PARK
1310, PARK
1311, PARK
1312, PARK
1313, PARK
1314, PARK
1315, PARK
1316, PARK
1317, PARK
1318, PARK
1319, PARK
1320, PARK
1321, PARK
1322, PARK
1323, PARK
1324, PARK
1325, PARK
1326, PARK
1327, PARK
1328, PARK
1329, PARK
1330, PARK
1331, PARK
1332, PARK
1333, PARK
1334, PARK
1335, PARK
1336, PARK
1337, PARK
1338, PARK
1339, PARK
1340, PARK
1341, PARK
1342, PARK
1343, PARK
1344, PARK
1345, PARK
1346, PARK
1347, PARK
1348, PARK
1349, PARK
1350, PARK
1351, PARK
1352, PARK
1353, PARK
1354, PARK
1355, PARK
1356, PARK
1357, PARK
1358, PARK
1359, PARK
1360, PARK
1361, PARK
1362, PARK
1363, PARK
1364, PARK
1365, PARK
1366, PARK
1367, PARK
1368, PARK
1369, PARK
1370, PARK
1371, PARK
1372, PARK
1373, PARK
1374, PARK
1375, PARK
1376, PARK
1377, PARK
1378, PARK
1379, PARK
1380, PARK
1381, PARK
1382, PARK
1383, PARK
1384, PARK
1385, PARK
1386, PARK
1387, PARK
1388, PARK
1389, PARK
1390, PARK
1391, PARK
1392, PARK
1393, PARK
1394, PARK
1395, PARK
1396, PARK
1397, PARK
1398, PARK
1399, PARK
1400, PARK
1401, PARK
1402, PARK
1403, PARK
1404, PARK
1405, PARK
1406, PARK
1407, PARK
1408, PARK
1409, PARK
1410, PARK
1411, PARK
1412, PARK
1413, PARK
1414, PARK
1415, PARK
1416, PARK
1417, PARK
1418, PARK
1419, PARK
1420, PARK
1421, PARK
1422, PARK
1423, PARK
1424, PARK
1425, PARK
1426, PARK
1427, PARK
1428, PARK
1429, PARK
1430, PARK
1431, PARK
1432, PARK
1433, PARK
1434, PARK
1435, PARK
1436, PARK
1437, PARK
1438, PARK
1439, PARK
1440, PARK
1441, PARK
1442, PARK
1443, PARK
1444, PARK
1445, PARK
1446, PARK
1447, PARK
1448, PARK
1449, PARK
1450, PARK
1451, PARK
1452, PARK
1453, PARK
1454, PARK
1455, PARK
1456, PARK
1457, PARK
1458, PARK
1459, PARK
1460, PARK
1461, PARK
1462, PARK
1463, PARK
1464, PARK
1465, PARK
1466, PARK
1467, PARK
1468, PARK
1469, PARK
1470, PARK
1471, PARK
1472, PARK
1473, PARK
1474, PARK
1475, PARK
1476, PARK
1477, PARK
1478, PARK
1479, PARK
1480, PARK
1481, PARK
1482, PARK
1483, PARK
1484, PARK
1485, PARK
1486, PARK
1487, PARK
1488, PARK
1489, PARK
1490, PARK
1491, PARK
1492, PARK
1493, PARK
1494, PARK
1495, PARK
1496, PARK
1497, PARK
1498, PARK
1499, PARK
1500, PARK
1501, PARK
1502, PARK
1503, PARK
1504, PARK
1505, PARK
1506, PARK
1507, PARK
1508, PARK
1509, PARK
1510, PARK
1511, PARK
1512, PARK
1513, PARK
1514, PARK
1515, PARK
1516, PARK
1517, PARK
1518, PARK
1519, PARK
1520, PARK
1521, PARK
1522, PARK
1523, PARK
1524, PARK
1525, PARK
1526, PARK
1527, PARK
1528, PARK
1529, PARK
1530, PARK
1531, PARK
1532, PARK
1533, PARK
1534, PARK
1535, PARK
1536, PARK
1537, PARK
1538, PARK
1539, PARK
1540, PARK
1541, PARK
1542, PARK
1543, PARK
1544, PARK
1545, PARK
1546, PARK
1547, PARK
1548, PARK
1549, PARK
1550, PARK
1551, PARK
1552, PARK
1553, PARK
1554, PARK
1555, PARK
1556, PARK
1557, PARK
1558, PARK
1559, PARK
1560, PARK
1561, PARK
1562, PARK
1563, PARK
1564, PARK
1565, PARK
1566, PARK
1567, PARK
1568, PARK
1569, PARK
1570, PARK
1571, PARK
1572, PARK
1573, PARK
1574, PARK
1575, PARK
1576, PARK
1577, PARK
1578, PARK
1579, PARK
1580, PARK
1581, PARK
1582, PARK
1583, PARK
1584, PARK
1585, PARK
1586, PARK
1587, PARK
1588, PARK
1589, PARK
1590, PARK
1591, PARK
1592, PARK
1593, PARK
1594, PARK
1595, PARK
1596, PARK
1597, PARK
1598, PARK
1599, PARK
1600, PARK
1601, PARK
1602, PARK
1603, PARK
1604, PARK
1605, PARK
1606, PARK
1607, PARK
1608, PARK
1609, PARK
1610, PARK
1611, PARK
1612, PARK
1613, PARK
1614, PARK
1615, PARK
1616, PARK
1617, PARK
1618, PARK
1619, PARK
1620, PARK
1621, PARK
1622, PARK
1623, PARK
1624, PARK
1625, PARK
1626, PARK
1627, PARK
1628, PARK
1629, PARK
1630, PARK
1631, PARK
1632, PARK
1633, PARK
1634, PARK
1635, PARK
1636, PARK
1637, PARK
1638, PARK
1639, PARK
1640, PARK
1641, PARK
1642, PARK
1643, PARK
1644, PARK
1645, PARK
1646, PARK
1647, PARK
1648, PARK
1649, PARK
1650, PARK
1651, PARK
1652, PARK
1653, PARK
1654, PARK
1655, PARK
1656, PARK
1657, PARK
1658, PARK
1659, PARK
1660, PARK
1661, PARK
1662, PARK
1663, PARK
1664, PARK
1665, PARK
1666, PARK
1667, PARK
1668, PARK
1669, PARK
1670, PARK
1671, PARK
1672, PARK
1673, PARK
1674, PARK
1675, PARK
1676, PARK
1677, PARK
1678, PARK
1679, PARK
1680, PARK
1681, PARK
1682, PARK
1683, PARK
1684, PARK
1685, PARK
1686, PARK
1687, PARK
1688, PARK
1689, PARK
1690, PARK
1691, PARK
1692, PARK
1693, PARK
1694, PARK
1695, PARK
1696, PARK
1697, PARK
1698, PARK
1699, PARK
1700, PARK
1701, PARK
1702, PARK
1703, PARK
1704, PARK
1705, PARK
1706, PARK
1707, PARK
1708, PARK
1709, PARK
1710, PARK
1711, PARK
1712, PARK
1713, PARK
1714, PARK
1715, PARK
1716, PARK
1717, PARK
1718, PARK
1719, PARK
1720, PARK
1721, PARK
1722, PARK
1723, PARK
1724, PARK
1725, PARK
1726, PARK
1727, PARK
1728, PARK
1729, PARK
1730, PARK
1731, PARK
1732, PARK
1733, PARK
1734, PARK
1735, PARK
1736, PARK
1737, PARK
1738, PARK
1739, PARK
1740, PARK
1741, PARK
1742, PARK
1743, PARK
1744, PARK
1745, PARK
1746, PARK
1747, PARK
1748, PARK
1749, PARK
1750, PARK
1751, PARK
1752, PARK
1753, PARK
1754, PARK
1755, PARK
1756, PARK
1757, PARK
1758, PARK
1759, PARK
1760, PARK
1761, PARK
1762, PARK
1763, PARK
1764, PARK
1765, PARK
1766, PARK
1767, PARK
1768, PARK
1769, PARK
1770, PARK
1771, PARK
1772, PARK
1773, PARK
1774, PARK
1775, PARK
1776, PARK
1777, PARK
1778, PARK
1779, PARK
1780, PARK
1781, PARK
1782, PARK
1783, PARK
1784, PARK
1785, PARK
1786, PARK
1787, PARK
1788, PARK
1789, PARK
1790, PARK
1791, PARK
1792, PARK
1793, PARK
1794, PARK
1795, PARK
1796, PARK
1797, PARK
1798, PARK
1799, PARK
1800, PARK
1801, PARK
1802, PARK
1803, PARK
1804, PARK
1805, PARK
1806, PARK
1807, PARK
1808, PARK
1809, PARK
1810, PARK
1811, PARK
1812, PARK
1813, PARK
1814, PARK
1815, PARK
1816, PARK
1817, PARK
1818, PARK
1819, PARK
1820, PARK
1821, PARK
1822, PARK
1823, PARK
1824, PARK
1825, PARK
1826, PARK
1827, PARK
1828, PARK
1829, PARK
1830, PARK
1831, PARK
1832, PARK
1833, PARK
1834, PARK
1835, PARK
1836, PARK
1837, PARK
1838, PARK
1839, PARK
1840, PARK
1841, PARK
1842, PARK
1843, PARK
1844, PARK
1845, PARK
1846, PARK
1847, PARK
1848, PARK
1849, PARK
1850, PARK
1851, PARK
1852, PARK
1853, PARK
1854, PARK
1855, PARK
1856, PARK
1857, PARK
1858, PARK
1859, PARK
1860, PARK
1861, PARK
1862, PARK
1863, PARK
1864, PARK
1865, PARK
1866, PARK
1867, PARK
1868, PARK
1869, PARK
1870, PARK
1871, PARK
1872, PARK
1873, PARK
1874, PARK
1875, PARK
1876, PARK
1877, PARK
1878, PARK
1879, PARK
1880, PARK
1881, PARK
1882, PARK
1883, PARK
1884, PARK
1885, PARK
1886, PARK
1887, PARK
1888, PARK
1889, PARK
1890, PARK
1891, PARK
1892, PARK
1893, PARK
1894, PARK
1895, PARK
1896, PARK
1897, PARK
1898, PARK
1899, PARK
1900, PARK
1901, PARK
1902, PARK
1903, PARK
1904, PARK
1905, PARK
1906, PARK
1907, PARK
1908, PARK
1909, PARK
1910, PARK
1911, PARK
1912, PARK
1913, PARK
1914, PARK
1915, PARK
1916, PARK
1917, PARK
1918, PARK
1919, PARK
1920, PARK
1921, PARK
1922, PARK
1923, PARK
1924, PARK
1925, PARK
1926, PARK
1927, PARK
1928, PARK
1929, PARK
1930, PARK
1931, PARK
1932, PARK
1933, PARK
1934, PARK
1935, PARK
1936, PARK
1937, PARK
1938, PARK
1939, PARK
1940, PARK
1941, PARK
1942, PARK
1943, PARK
1944, PARK
1945, PARK
1946, PARK
1947, PARK
1948, PARK
1949, PARK
1950, PARK
1951, PARK
1952, PARK
1953, PARK
1954, PARK
1955, PARK
1956, PARK
1957, PARK
1958, PARK
1959, PARK
1960, PARK
1961, PARK
1962, PARK
1963, PARK
1964, PARK
1965, PARK
1966, PARK
1967, PARK
1968, PARK
1969, PARK
1970, PARK
1971, PARK
1972, PARK
1973, PARK
1974, PARK
1975, PARK
1976, PARK
1977, PARK
1978, PARK
1979, PARK
1980, PARK
1981, PARK
1982, PARK
1983, PARK
1984, PARK
1985, PARK
1986, PARK
1987, PARK
1988, PARK
1989, PARK
1990, PARK
1991, PARK
1992, PARK
1993, PARK
1994, PARK
1995, PARK
1996, PARK
1997, PARK
1998, PARK
1999, PARK
2000, PARK
2001, PARK
2002, PARK
2003, PARK
2004, PARK
2005, PARK
2006, PARK
2007, PARK
2008, PARK
2009, PARK
2010, PARK
2011, PARK
2012, PARK
2013, PARK
2014, PARK
2015, PARK
2016, PARK
2017, PARK
2018, PARK
2019, PARK
2020, PARK
2021, PARK
2022, PARK
2023, PARK
2024, PARK
2025, PARK
2026, PARK
2027, PARK
2028, PARK
2029, PARK
2030, PARK
2031, PARK
2032, PARK
2033, PARK
2034, PARK
2035, PARK
2036, PARK
2037, PARK
2038, PARK
2039, PARK
2040, PARK
